File,BFS_Cost,DFS_Cost,Percent_Increase
E-n76-k8.vrp,1855,866,114.20323325635104
P-n101-k4.vrp,1961,887,121.08229988726042
E-n101-k8.vrp,2072,1027,101.75267770204479
E-n101-k14.vrp,2195,1284,70.95015576323988
X-n101-k25.vrp,46423,30699,51.219909443304346
X-n110-k13.vrp,40421,17422,132.01125014349674
X-n106-k14.vrp,33539,27990,19.824937477670595
X-n115-k10.vrp,43692,16967,157.5116402428243
X-n120-k6.vrp,43783,16252,169.40068914595128
X-n125-k30.vrp,71746,61796,16.101365784193153
X-n129-k18.vrp,46228,32067,44.16066361056538
X-n134-k13.vrp,22878,12543,82.39655584788328
X-n139-k10.vrp,43739,16632,162.98100048100048
X-n143-k7.vrp,43608,19293,126.03016638158917
X-n148-k46.vrp,71399,48987,45.750913507665295
X-n153-k22.vrp,46012,26547,73.3227860021848
X-n157-k13.vrp,29391,18776,56.53493821900298
F-n135-k7.vrp,5485,1344,308.1101190476191
X-n167-k10.vrp,41779,24496,70.55437622468975
X-n162-k11.vrp,60125,17917,235.57515209019368
X-n176-k26.vrp,90142,59391,51.7772053004664
X-n172-k51.vrp,69382,50503,37.38193770667089
X-n181-k23.vrp,39345,27582,42.6473787252556
X-n190-k8.vrp,28749,19461,47.72622167411746
X-n186-k15.vrp,67761,28252,139.84496672801924
CMT4.vrp,3432,1326,158.8235294117647
X-n195-k51.vrp,69199,50399,37.302327427131495
X-n200-k36.vrp,97846,63857,53.226740999420585
X-n209-k16.vrp,79031,35618,121.88500196529843
X-n204-k19.vrp,44564,23721,87.86729058640023
X-n219-k73.vrp,145683,119383,22.02993726074902
X-n223-k34.vrp,96144,45507,111.27299096842245
X-n214-k11.vrp,30862,13823,123.26557187296534
X-n247-k50.vrp,61515,47370,29.8606713109563
X-n228-k23.vrp,87059,32242,170.0173686495875
X-n237-k14.vrp,60504,32488,86.23491750800295
X-n233-k16.vrp,58950,23787,147.82444192205827
X-n242-k48.vrp,114180,92015,24.088463837417812
X-n251-k28.vrp,70643,43936,60.78614348142754
Golden_14.vrp,2678,1563,71.33717210492642
X-n266-k58.vrp,108901,83272,30.777452204822747
X-n256-k16.vrp,51849,22901,126.40496048207501
CMT5.vrp,3862,1604,140.77306733167083
X-n261-k13.vrp,68621,32548,110.83015853508664
X-n275-k28.vrp,52778,24400,116.30327868852459
X-n270-k35.vrp,98963,40408,144.9094238764601
X-n280-k17.vrp,90543,41843,116.38744831871519
X-n284-k15.vrp,46958,24516,91.54021863272965
X-n298-k31.vrp,85020,40397,110.46117285937073
X-n289-k60.vrp,141185,106779,32.22169153110631
X-n294-k50.vrp,101007,54616,84.94031053171231
X-n308-k13.vrp,77237,33752,128.83680967053803
X-n317-k53.vrp,104088,81113,28.324682849851442
X-n303-k21.vrp,76166,26568,186.68322794339053
Golden_17.vrp,1713,885,93.55932203389831
X-n313-k71.vrp,138098,106266,29.95501853838481
X-n344-k43.vrp,96969,48814,98.64997746548121
X-n327-k20.vrp,66370,33407,98.67093722872453
X-n331-k15.vrp,85608,38223,123.96986107840829
X-n336-k84.vrp,187761,156724,19.803603787550088
X-n322-k28.vrp,106326,35929,195.93364691474852
X-n359-k29.vrp,118892,59537,99.69430774140451
Golden_9.vrp,1172,803,45.952677459526775
Golden_13.vrp,1988,1211,64.16184971098265
X-n351-k40.vrp,63960,30766,107.89182864200741
X-n367-k17.vrp,81523,29192,179.26486708687312
X-n376-k94.vrp,194801,152146,28.03557109618393
tai385.vrp,69384,30562,127.02702702702702
X-n393-k38.vrp,98990,44972,120.11473805923684
X-n384-k52.vrp,119729,74052,61.68233133473775
X-n411-k19.vrp,81774,26093,213.3943969647032
X-n401-k29.vrp,132907,73857,79.9517987462258
X-n420-k130.vrp,177632,123230,44.146717520084394
Golden_18.vrp,2462,1281,92.19359875097581
X-n439-k37.vrp,117224,43199,171.35813329012245
X-n429-k61.vrp,122590,74639,64.24389394284489
Golden_10.vrp,1505,1017,47.984267453294
X-n449-k29.vrp,142479,65501,117.52186989511611
X-n524-k153.vrp,245625,192053,27.894383321270688
X-n459-k26.vrp,71821,29975,139.60300250208505
X-n480-k70.vrp,160786,98999,62.41174153274276
X-n469-k138.vrp,295336,247070,19.535354353017365
X-n502-k39.vrp,106001,73713,43.80231438145239
X-n491-k59.vrp,120957,77256,56.566480273376825
X-n513-k21.vrp,112628,32632,245.14586908556018
Golden_19.vrp,3360,1764,90.47619047619048
X-n548-k50.vrp,181589,95363,90.41871585415727
X-n536-k96.vrp,187544,106615,75.90770529475215
X-n561-k42.vrp,114475,51779,121.08383707680721
Golden_11.vrp,1891,1251,51.159072741806554
