Problem Instance,seqMDS minCost,seqMDSexp2Var1 minCost,% Change (vs seqMDS),seqMDSexp2Var2 minCost,% Change (vs seqMDS)
inputs/E-n76-k8.vrp,866,940,8.55%,951,9.81%
inputs/P-n101-k4.vrp,887,1016,14.54%,1020,14.99%
inputs/E-n101-k8.vrp,1027,1125,9.54%,1187,15.58%
inputs/E-n101-k14.vrp,1284,1414,10.12%,1440,12.15%
inputs/X-n101-k25.vrp,30699,34669,12.93%,35620,16.03%
inputs/X-n110-k13.vrp,17422,19671,12.91%,19447,11.62%
inputs/X-n106-k14.vrp,27990,30367,8.49%,30552,9.15%
inputs/X-n115-k10.vrp,16967,18511,9.09%,20106,18.50%
inputs/X-n120-k6.vrp,16252,16890,3.92%,16890,3.92%
inputs/X-n125-k30.vrp,61796,67126,8.62%,65655,6.24%
inputs/X-n129-k18.vrp,32067,34751,8.37%,32955,2.77%
inputs/X-n134-k13.vrp,12543,13263,5.74%,13380,6.67%
inputs/X-n139-k10.vrp,16632,20180,21.33%,18858,13.39%
inputs/X-n143-k7.vrp,19293,20095,4.16%,20202,4.71%
inputs/X-n148-k46.vrp,48987,51921,6.00%,52445,7.06%
inputs/X-n153-k22.vrp,26547,28488,7.31%,27522,3.67%
inputs/X-n157-k13.vrp,18776,18790,0.07%,18790,0.07%
inputs/F-n135-k7.vrp,1344,1698,26.34%,1803,34.15%
inputs/X-n167-k10.vrp,24496,26513,8.23%,26509,8.22%
inputs/X-n162-k11.vrp,17917,19194,7.13%,20474,14.27%
inputs/X-n176-k26.vrp,59391,63846,7.50%,62587,5.38%
inputs/X-n172-k51.vrp,50503,54856,8.62%,54887,8.68%
inputs/X-n181-k23.vrp,27582,29552,7.14%,29552,7.14%
inputs/X-n190-k8.vrp,19461,20429,4.97%,20456,5.12%
inputs/X-n186-k15.vrp,28252,29958,6.04%,30270,7.14%
inputs/CMT4.vrp,1326,1421,7.16%,1544,16.44%
inputs/X-n195-k51.vrp,50399,56397,11.90%,50650,0.50%
inputs/X-n200-k36.vrp,63857,68013,6.51%,66577,4.26%
inputs/X-n209-k16.vrp,35618,35518,-0.28%,36772,3.24%
inputs/X-n204-k19.vrp,23721,24686,4.07%,25126,5.92%
inputs/X-n219-k73.vrp,119383,121203,1.52%,121203,1.52%
inputs/X-n223-k34.vrp,45507,48250,5.99%,47400,4.16%
inputs/X-n214-k11.vrp,13823,14326,3.64%,15285,10.58%
inputs/X-n247-k50.vrp,47370,49990,5.53%,46695,-1.42%
inputs/X-n228-k23.vrp,32242,35917,11.39%,38255,18.64%
inputs/X-n237-k14.vrp,32488,35269,8.56%,35269,8.56%
inputs/X-n233-k16.vrp,23787,25063,5.32%,27084,13.86%
inputs/X-n242-k48.vrp,92015,97236,5.67%,93568,1.69%
inputs/X-n251-k28.vrp,43936,45529,3.63%,44230,0.67%
inputs/Golden_14.vrp,1563,1507,-3.61%,1515,-3.07%
inputs/X-n266-k58.vrp,83272,86269,3.60%,84629,1.63%
inputs/X-n256-k16.vrp,22901,23633,3.19%,24271,5.98%
inputs/CMT5.vrp,1604,1714,6.86%,1776,10.72%
inputs/X-n261-k13.vrp,32548,33836,3.96%,34182,5.02%
inputs/X-n275-k28.vrp,24400,25830,5.86%,25830,5.86%
inputs/X-n270-k35.vrp,40408,44838,10.96%,44467,10.04%
inputs/X-n280-k17.vrp,41843,45184,8.00%,42490,1.55%
inputs/X-n284-k15.vrp,24516,25460,3.85%,26063,6.31%
inputs/X-n298-k31.vrp,40397,43258,7.08%,42959,6.34%
inputs/X-n289-k60.vrp,106779,110985,3.94%,106833,0.05%
inputs/X-n294-k50.vrp,54616,59471,8.89%,60057,9.97%
inputs/X-n308-k13.vrp,33752,35874,6.28%,36266,7.45%
inputs/X-n317-k53.vrp,81113,82339,1.51%,82339,1.51%
inputs/X-n303-k21.vrp,26568,27607,3.91%,29255,10.49%
inputs/Golden_17.vrp,885,921,4.07%,953,7.68%
inputs/X-n313-k71.vrp,106266,110903,4.36%,108611,2.21%
inputs/X-n344-k43.vrp,48814,50576,3.61%,51719,5.95%
inputs/X-n327-k20.vrp,33407,34274,2.60%,34364,2.87%
inputs/X-n331-k15.vrp,38223,38753,1.39%,38753,1.39%
inputs/X-n336-k84.vrp,156724,166637,6.33%,158361,1.04%
inputs/X-n322-k28.vrp,35929,37822,5.27%,37704,4.94%
inputs/X-n359-k29.vrp,59537,59632,0.16%,58981,-0.93%
inputs/Golden_9.vrp,803,764,-4.86%,765,-4.73%
inputs/Golden_13.vrp,1211,1189,-1.82%,1202,-0.74%
inputs/X-n351-k40.vrp,30766,31555,2.56%,32430,5.41%
inputs/X-n367-k17.vrp,29192,32028,9.71%,30993,6.17%
inputs/X-n376-k94.vrp,152146,152357,0.14%,152357,0.14%
inputs/tai385.vrp,30562,33655,10.12%,34478,12.82%
inputs/X-n393-k38.vrp,44972,45684,1.58%,45105,0.29%
inputs/X-n384-k52.vrp,74052,74736,0.92%,76841,3.77%
inputs/X-n411-k19.vrp,26093,27529,5.50%,28823,10.46%
inputs/X-n401-k29.vrp,73857,74076,0.30%,75303,1.96%
inputs/X-n420-k130.vrp,123230,131372,6.61%,131109,6.40%
inputs/Golden_18.vrp,1281,1325,3.43%,1402,9.45%
inputs/X-n439-k37.vrp,43199,44672,3.41%,44672,3.41%
inputs/X-n429-k61.vrp,74639,76793,2.89%,76058,1.90%
inputs/Golden_10.vrp,1017,944,-7.18%,944,-7.18%
inputs/X-n449-k29.vrp,65501,66453,1.45%,65929,0.65%
inputs/X-n524-k153.vrp,192053,198794,3.51%,193772,0.89%
inputs/X-n459-k26.vrp,29975,30145,0.57%,31828,6.18%
inputs/X-n480-k70.vrp,98999,100585,1.60%,97796,-1.22%
inputs/X-n469-k138.vrp,247070,250418,1.36%,250195,1.26%
inputs/X-n502-k39.vrp,73713,74636,1.25%,74636,1.25%
inputs/X-n491-k59.vrp,77256,79019,2.28%,78417,1.50%
inputs/X-n513-k21.vrp,32632,32875,0.75%,34378,5.35%
inputs/Golden_19.vrp,1764,1748,-0.91%,1882,6.69%
inputs/X-n548-k50.vrp,95363,94691,-0.70%,94691,-0.70%
inputs/X-n536-k96.vrp,106615,109077,2.31%,107987,1.29%
inputs/X-n561-k42.vrp,51779,54552,5.36%,55040,6.30%
inputs/Golden_11.vrp,1251,1160,-7.27%,1162,-7.11%
inputs/X-n573-k30.vrp,58815,63822,8.51%,59230,0.71%
inputs/Golden_15.vrp,1986,1913,-3.67%,1913,-3.67%
inputs/X-n586-k159.vrp,213624,216784,1.48%,215765,1.01%
inputs/Golden_20.vrp,2369,2405,1.52%,2366,-0.13%
inputs/X-n670-k130.vrp,183897,194862,5.96%,186284,1.30%
inputs/X-n599-k92.vrp,121348,122972,1.34%,121187,-0.13%
inputs/X-n627-k43.vrp,69829,72729,4.15%,71046,1.74%
inputs/X-n613-k62.vrp,71175,74884,5.21%,73320,3.01%
inputs/X-n655-k131.vrp,110792,112131,1.21%,112131,1.21%
inputs/X-n641-k35.vrp,74367,75905,2.07%,76340,2.65%
inputs/Golden_12.vrp,1583,1521,-3.92%,1408,-11.06%
inputs/X-n701-k44.vrp,94465,95054,0.62%,94944,0.51%
inputs/Golden_16.vrp,2470,2249,-8.87%,2295,-7.08%
inputs/X-n685-k75.vrp,80134,81617,1.85%,86278,7.67%
inputs/X-n733-k159.vrp,156141,159208,1.96%,162818,4.28%
inputs/X-n716-k35.vrp,51159,50101,-2.07%,51954,1.55%
inputs/X-n766-k71.vrp,144723,152877,5.63%,144339,-0.27%
inputs/X-n749-k98.vrp,88397,89765,1.55%,89245,0.96%
inputs/X-n801-k40.vrp,85399,84117,-1.50%,84117,-1.50%
inputs/X-n783-k48.vrp,85730,87524,2.09%,87455,2.01%
inputs/X-n837-k142.vrp,213517,212879,-0.30%,211813,-0.80%
inputs/X-n856-k95.vrp,99464,100386,0.93%,100386,0.93%
inputs/X-n819-k171.vrp,175866,178975,1.77%,180737,2.77%
inputs/X-n876-k59.vrp,111553,112286,0.66%,110168,-1.24%
inputs/X-n916-k207.vrp,363449,369342,1.62%,363552,0.03%
inputs/X-n895-k37.vrp,67561,67944,0.57%,66030,-2.27%
inputs/X-n936-k151.vrp,176197,180532,2.46%,177965,1.00%
inputs/X-n957-k87.vrp,96579,96010,-0.59%,96010,-0.59%
inputs/X-n1001-k43.vrp,87381,87122,-0.30%,85972,-1.61%
inputs/X-n979-k58.vrp,131843,132812,0.73%,130678,-0.88%
inputs/Leuven1.vrp,220994,221254,0.12%,222044,0.48%
inputs/Leuven2.vrp,143180,142755,-0.30%,144124,0.66%
inputs/Antwerp1.vrp,547815,542448,-0.98%,540916,-1.26%
inputs/Antwerp2.vrp,364461,358231,-1.71%,361372,-0.85%
inputs/Ghent1.vrp,535557,,,,
inputs/Ghent2.vrp,324119,,,,
inputs/Brussels1.vrp,592077,,,,
inputs/Brussels2.vrp,436877,,,,
inputs/Flanders1.vrp,8.07E+06,,,,
inputs/Flanders2.vrp,5.33E+06,,,,
