file-name,time_till_loop,total_elapsed_time,minCost,correctness
F-n135-k7,0.008000,0.009135,2124.291062,VALID
Antwerp2,4.190000,4.301571,329845.950419,VALID
Antwerp1,1.092000,1.100126,515458.060476,VALID
Leuven1,0.491000,0.494220,211279.051850,VALID
Leuven2,2.604000,2.750204,134962.187049,VALID
P-n101-k4,0.006000,0.006254,1653.924109,VALID
tai385,0.023000,0.024210,32158.620748,VALID
Golden_19,0.020000,0.020639,1762.435899,VALID
Golden_18,0.016000,0.016619,1403.533982,VALID
Golden_20,0.023000,0.023556,2399.606196,VALID
E-n101-k14,0.006000,0.006232,1694.772151,VALID
E-n76-k8,0.004000,0.004878,1568.047615,VALID
Flanders2,423.072000,425.015435,4875849.853723,VALID
Golden_13,0.014000,0.014357,1146.440921,VALID
Golden_12,0.035000,0.037910,1340.554444,VALID
Flanders1,24.829000,24.899044,7689462.254173,VALID
Golden_10,0.021000,0.022080,960.505472,VALID
Golden_11,0.027000,0.029100,1129.480651,VALID
E-n101-k8,0.006000,0.006169,1653.924109,VALID
Golden_15,0.022000,0.022851,1897.901767,VALID
Golden_14,0.018000,0.018523,1644.547499,VALID
Golden_16,0.027000,0.027422,2323.621268,VALID
Golden_17,0.013000,0.013352,867.949856,VALID
Golden_9,0.016000,0.016589,731.020563,VALID
CMT5,0.011000,0.011328,1969.094943,VALID
CMT4,0.008000,0.008689,1829.688698,VALID
Brussels2,53.599000,54.201393,393670.604014,VALID
Brussels1,7.341000,7.397327,547134.819909,VALID
Ghent2,47.755000,48.272439,295030.244164,VALID
Ghent1,5.183000,5.200651,506383.752708,VALID
