file-name,time_till_loop,total_elapsed_time,minCost,correctness
F-n135-k7,0.000000,0.001236,2124.291062,VALID
Antwerp2,0.134000,0.249350,330151.492716,VALID
Antwerp1,0.020000,0.027446,518441.638991,VALID
Leuven1,0.011000,0.014246,211719.579320,VALID
Leuven2,0.160000,0.320463,135112.008155,VALID
P-n101-k4,0.000000,0.000622,1653.924109,VALID
tai385,0.001000,0.001534,32210.351867,VALID
Golden_19,0.000000,0.001062,1762.435899,VALID
Golden_18,0.000000,0.000969,1403.533982,VALID
Golden_20,0.001000,0.001401,2399.606196,VALID
E-n101-k14,0.000000,0.000607,1694.772151,VALID
E-n76-k8,0.000000,0.000555,1568.047615,VALID
Flanders2,25.026000,27.229281,4881593.488490,VALID
Golden_13,0.000000,0.000803,1164.138906,VALID
Golden_12,0.001000,0.003433,1357.883674,VALID
Flanders1,1.117000,1.186181,7706987.483113,VALID
Golden_10,0.000000,0.001825,971.113817,VALID
Golden_11,0.001000,0.002606,1115.310947,VALID
E-n101-k8,0.000000,0.000682,1653.924109,VALID
Golden_15,0.000000,0.001188,1906.800424,VALID
Golden_14,0.001000,0.001182,1681.906237,VALID
Golden_16,0.001000,0.001449,2392.749415,VALID
Golden_17,0.000000,0.000939,867.949856,VALID
Golden_9,0.000000,0.001418,729.834057,VALID
CMT5,0.000000,0.000953,1969.094943,VALID
CMT4,0.000000,0.000701,1829.688698,VALID
